Format,ABLayout,CTAGroup,M,N,K,PipelineDepth,Cycles,CyclesPerMMA,FLOPsPerCycle
BF16,SS,1,128,112,16,128,7821815,61.1079,7507.245380711823
BF16,SS,1,128,112,16,16,1104421,69.0263,6646.046506911133
BF16,SS,1,128,112,16,256,15513840,60.6009,7570.052589978036
BF16,SS,1,128,112,16,32,2064791,64.5247,7109.711474830569
BF16,SS,1,128,112,16,64,3984791,62.2624,7368.042349796989
BF16,SS,1,128,128,16,128,8340945,65.1636,8045.718775512709
BF16,SS,1,128,128,16,16,1172420,73.2763,7154.946415143777
BF16,SS,1,128,128,16,256,16542350,64.6186,8113.577205324783
BF16,SS,1,128,128,16,32,2197039,68.6575,7636.281542438918
BF16,SS,1,128,128,16,64,4245039,66.3287,7904.391311754942
BF16,SS,1,128,256,16,128,16533533,129.1682,8117.911374471425
BF16,SS,1,128,256,16,16,2196421,137.2763,7638.434310948067
BF16,SS,1,128,256,16,256,32925343,128.6146,8152.853564058824
BF16,SS,1,128,256,16,32,4244791,132.6497,7904.8501428951595
BF16,SS,1,128,256,16,64,8335293,130.239,8051.167469037692
BF16,SS,1,128,64,16,128,6277037,49.0394,5345.579268914383
BF16,SS,1,128,64,16,16,900420,56.2762,4658.168106588575
BF16,SS,1,128,64,16,256,12430310,48.5559,5398.808383739154
BF16,SS,1,128,64,16,32,1669039,52.1575,5026.007764942721
BF16,SS,1,128,64,16,64,3205037,50.0787,5234.640675576643
BF16,SS,1,128,80,16,128,6792791,53.0687,6174.6377808388
BF16,SS,1,128,80,16,16,968421,60.5263,5413.844890568233
BF16,SS,1,128,80,16,256,13457592,52.5687,6233.367003559152
BF16,SS,1,128,80,16,32,1800791,56.2747,5822.865337354086
BF16,SS,1,128,80,16,64,3464791,54.1374,6052.7472689859505
BF16,SS,1,128,96,16,128,7308791,57.0999,6886.456893970042
BF16,SS,1,128,96,16,16,1036421,64.7763,6070.3683291574225
BF16,SS,1,128,96,16,256,14485838,56.5853,6949.083949364942
BF16,SS,1,128,96,16,32,1932791,60.3997,6510.23101108118
BF16,SS,1,128,96,16,64,3724791,58.1999,6756.300268557163
BF16,SS,1,64,112,16,128,7300791,57.0374,4021.501681352937
BF16,SS,1,64,112,16,16,1028421,64.2763,3568.5937118346883
BF16,SS,1,64,112,16,256,14477842,56.5541,4055.868628446037
BF16,SS,1,64,112,16,32,1924791,60.1497,3813.4188532943635
BF16,SS,1,64,112,16,64,3716791,58.0749,3949.6581139184054
BF16,SS,1,64,128,16,128,8325533,65.0432,4030.3060120043297
BF16,SS,1,64,128,16,16,1156421,72.2763,3626.9703900171976
BF16,SS,1,64,128,16,256,16525841,64.5541,4060.841991445934
BF16,SS,1,64,128,16,32,2180791,68.1497,3846.5906673103477
BF16,SS,1,64,128,16,64,4228791,66.0749,3967.3764167634004
BF16,SS,1,64,256,16,128,16517533,129.0432,4062.8874671427857
BF16,SS,1,64,256,16,16,2180421,136.2763,3847.242697372911
BF16,SS,1,64,256,16,256,32909841,128.5541,4078.345225862108
BF16,SS,1,64,256,16,32,4228791,132.1497,3967.379418946846
BF16,SS,1,64,256,16,64,8318961,129.9838,4033.487249949609
BF16,SS,1,64,64,16,128,4228791,33.0374,3967.382421134835
BF16,SS,1,64,64,16,16,644421,40.2763,3254.320779217555
BF16,SS,1,64,64,16,256,8333840,32.5541,4026.282403752523
BF16,SS,1,64,64,16,32,1156791,36.1497,3625.8115558358713
BF16,SS,1,64,64,16,64,2180791,34.0749,3846.5850229934645
BF16,SS,1,64,80,16,128,5252791,41.0374,3992.455662395766
BF16,SS,1,64,80,16,16,772421,48.2763,3393.7977848343803
BF16,SS,1,64,80,16,256,10381842,40.5541,4040.0354094900395
BF16,SS,1,64,80,16,32,1412791,44.1497,3711.01049384254
BF16,SS,1,64,80,16,64,2692791,42.0749,3894.008066567003
BF16,SS,1,64,96,16,128,6276791,49.0374,4009.3479670618754
BF16,SS,1,64,96,16,16,900421,56.2763,3493.619871953202
BF16,SS,1,64,96,16,256,12429840,48.5541,4049.2563964732126
BF16,SS,1,64,96,16,32,1668791,52.1497,3770.069626479155
